"idtram","conteo"
335,14
572,5
1269,1
1301,1
1318,2
1677,1
6717,1
7059,1
319,13
358,1
414,1
583,1
585,1
686,1
694,1
698,1
702,1
706,1
732,1
749,1
750,1
752,1
780,1
795,1
796,1
903,1
1002,1
1081,1
1121,1
1125,1
1135,1
1142,1
1145,1
1184,1
1205,1
1206,1
1209,1
1268,1
1270,1
1300,1
1383,1
1489,1
1520,2
1531,1
1532,1
1555,1
1560,1
1580,1
1583,1
1584,1
1596,1
1633,1
1635,1
1654,1
1694,1
1705,1
1715,15
1717,15
4806,1
4904,1
5203,1
5204,1
5418,1
6658,1
6664,1
6737,1
6876,1
6879,1
6893,1
6894,1
6895,1
6896,1
6919,1
6923,1
6930,1
6932,1
7328,1
7329,1
7397,1
7432,1
7433,1
7434,1
7441,1
7442,1
7524,2
7528,1
7586,1
7588,1
7619,1
7973,1
8031,1
8032,1
8132,1
8137,1
8138,1
8190,1
8289,1
8299,1
8326,1
8327,1
8361,1
8939,1
9182,1
9229,15
9337,1
9918,1
9919,1
9950,1
9951,1
9957,1
10519,1
10549,1
10600,1
10662,1
10842,1
11098,1
11198,1
11218,1
