"idtram","nombre","descripcion","requisitos","estatus","tipo","prioridad","nivel","costo","visitas","frecuencia","tiemporesp","vigencia","conteo_etapas","conteo_requisitos"
319,"Sustitución de Medidor","Es la instalación de un aparato de medición nuevo que sustituirá al medidor que haya terminado su vida útil, que se encuentre dañado o que haya sido robado","1.- Estar al corriente con sus pagos\n\n2.- Croquis de localización (claro y especifico, con referencias claras)\n\n3.- 1 Copia de identificación (con leyenda de autorización de materiales y mano de obra en caso de que se requiera)\n\n4.- Carta poder para el cargo posterior a recibo (cuando no es titular) en su caso\n\n5.- En caso de robo comprobación de denuncia ante la autoridad competente (acta)","Publicado","Trámite","Alta","Informativo",0,1496,"1011","4 días hábiles","NO APLICA",4,5
335,"Contratación de Agua Potable y Alcantarillado Sanitario para Tarifa Doméstica","Contratar el servicio de agua potable y alcantarillado domestico","Requisitos para una Toma Doméstica:\n\n1.- Costo si es que se va a supervisar (Original\n\n2.- Identificación oficial vigente (INE (Instituto Nacional Electoral, Pasaporte, Licencia de Conducir, Cédula profesional (Original y 2 copias\n\n3.- Escritura completa certificada o constancia notarial (que especifique que la escritura se encuentra en trámite y la fecha respectiva o cesión de derechos, o posesión FOVI (Fondo de Operación y Financiamiento Bancario a la Vivienda, o FOVISSSTE (Fondo de la Vivienda del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado o carta de entrega (Original y copia\n\n4.- Alineamiento y número oficial para colonias, expedido por obras públicas, solo en caso de que en la escritura no este indicado (Original\n\n5.- 2 croquis de localización de la ubicación de domicilio bien definido o croquis de la constructora (Original\n\n6.- Identificación oficial vigente y carta poder en caso de que otra persona realice el trámite (Original y 2 copias\n\n7.- En caso de ser 2 o más titulares, anexar carta poder y copia de identificación oficial vigente  de cada uno (Original y 2 copias\n\nEn caso de ser persona moral,\n\n8.- Escritura certificada, acta constitutiva y/o poder notarial (Original y 2 copias\n\n9.- Nombramiento (Original y 1 copia\n\n10.- Identificación oficial del representante legal (Original y 2 copias\n\n11.- En caso de arrendar el inmueble, contrato de arrendamiento (Original y 2 copias\n\n12.- En caso de rentar el inmueble, autorización por escrito por parte del propietario del predio con identificación, para efectuar dicho trámite y/o en su caso autorizar que la toma salga a nombre del arrendatario (Original y 2 copias\n","Publicado","Trámite","Alta","Informativo",103.74,32200,"883","7 días hábiles","2 MESES",5,9
358,"Reinscripción UTSH","Atención a estudiantes de la UTSH para su incorporación al siguiente cuatrimestre","1.- Comprobante de pago.","Publicado","Trámite","Alta","Informativo",231.25,795,"200","10 minutos","4 meses",2,1
414,"Renovación de Permiso y Permiso de Descarga de Agua Residual, Industrial, Comercial y/o Servicios.","Documento que otorga la CAASIM a los generadores de agua residual proveniente de industrias, comercios y/o servicios, tiene una vigencia de 5 años y se clasifica en micro, pequeña, mediana y grande de acuerdo al tabulador, se debe requisitar el formato correspondiente para permiso o renovación. ","1.- Solicitud de Permiso de Descarga de Agua Residual debidamente requisitados\n\n2.- Anexar croquis y/o planos de las instalaciones hidráulico sanitarias\n\n3.- Acreditación de la personalidad jurídica (fotocopia de credencial de elector, acta constitutiva y/o carta poder)\n\n4.- Presentar número de cuenta de recibo de agua potable de la empresa o número de cliente a fin poder facturar\n\n5.- Copia de factura.\n","Publicado","Trámite","Alta","Informativo",1037.4,1000,"18","5 días hábiles","5 Años",1,5
572,"Expedición de Constancia de NO Antecedentes Penales","Acreditar que la persona usuaria o solicitante no tiene antecedentes penales en la base de datos del Sistema Nacional de Seguridad Pública (Plataforma México).","Si Usted Radica en México.   \n\n1.- Recibo de pago (formato F-7) \n       Selecciona la sucursal donde realizarás el trámite (Pachuca, Huejutla, Tula de Allende o Tulancingo de Bravo) .\n2.- Una Copia de constancia de la  Clave Única de Registro de Población (CURP) actualizada (código QR)\n3.- Una Copia de Identificación Oficial (INE)\n4.- Una Fotografía a color tamaño pasaporte fondo blanco.\n\nSi Usted radica en el Extranjero\n\n1.	Oficio del consulado dirigido a la  Procuraduría General de Justicia del Estado de Hidalgo\n2.	Toma de Huellas por el Consulado\n3.	Copia de identificación oficial (INE, Cartilla, Pasaporte o Matricula)\n4.	Una Copia de constancia de la  Clave Única de Registro de Población (CURP) actualizada (código QR)\n5.	2 fotografías tamaño credencial a color de frente\n6.	Comprobante de Domicilio donde radica el interesado\n7.	Carta poder \n8.	Credencial original y copia de la persona que realiza el tramite\n9.     Recibo de pago (formato F-7)","Publicado","Trámite","Alta","De inicio",221,374390,"3,950 constancias","Hasta 72 horas después de haber realizado su trámite en ventanilla","30 días naturales",4,16
583,"Talleres artísticos libres del Centro de las Artes de Hidalgo.","Talleres de formación inicial para desarrollar habilidades en las disciplinas de música, danza, teatro, artes visuales y literatura.","REQUISITOS PARA TRÁMITE DE INSCRIPCIÓN:\n1.-Conocer oferta académica (convocatoria).\n2.-Realizar pre-registro de aspirante: https://forms.gle/AYnsXybYeNZhcAQX9\n3.-Acudir a plática de inducción (virtual)\n4.-Realizar la entrevista de selección (en el caso de talleres del área de música). \n5.-Consultar lista de admitidos.\n6.-Solicitar ficha de inscripción en la oficina de Servicios Escolares del Centro de las Artes. \n7.-Pagar en el banco. \n8.-Enviar al correo electrónico de serviciosescolarescah@gmail.com la siguiente documentación:\n-1 Solicitud de Inscripción. en formato PDF o JPG.\n-1 Copia del Acta de nacimiento en formato PDF o JPG.\n-1 Fotografía a color tamaño infantil en formato JPG.\n-1 Copia de comprobante de domicilio en formato PDF o JPG.\n-1 CURP en PDF. Consultar en https://www.gob.mx/curp/\n-1 Comprobante de pago del banco en formato PDF.\n\nREQUISITOS PARA TRÁMITE DE REINSCRIPCIÓN:\n1.- Calificación aprobatoria del semestre anterior (acreditar en un 80% de asistencias y calificación mínima de 7 en todas las materias).\n2.- Solicitar ficha de reinscripción y número de cuenta, en la oficina de Servicios Escolares del Centro de las Artes.\n3.- Pagar en el banco BBVA Bancomer.\n4.- Enviar al correo electrónico de serviciosescolarescah@gmail.com la siguiente documentación:\n-1 comprobante de pago en formato PDF.\n-1 Formato de reinscripción en PDF.","Publicado","Trámite","Alta","Transaccional",855.5,1738,"En 2 periodos (Enero y Julio) 900 solicitudes","10 días hábiles.","De acuerdo a duración del taller.",8,1
585,"Talleres artísticos especializados del Centro de las Artes de Hidalgo.","Talleres de formación especializada en las disciplinas de música, danza, teatro, artes visuales y literatura.","REQUISITOS PARA TRÁMITE DE INSCRIPCIÓN:\n1.- Conocer la convocatoria.\n2.- Cumplir con las bases del proceso de selección (en los diplomados suelen ser bajo el perfil del interesado)\n3.- Realizar pre registro de aspirante.\n4.- Reunir requisitos de inscripción  \n5.- Pagar en el banco BBVA Bancomer.\n6.- Enviar al correo electrónico de serviciosescolarescah@gmail.com la siguiente documentación:\n-1 Solicitud de Inscripción en formato PDF o JPG.\n-1 Copia del Acta de nacimiento en formato PDF o JPG.\n-1 fotografía tamaño infantil en formato JPG.\n-1 comprobante de domicilio en formato PDF o JPG.\n-1 CURP en PDF. Consultar en https://www.gob.mx/curp/\n-1 Comprobante de pago del banco en formato PDF.\n\nREQUISITOS PARA TRÁMITE DE REINSCRIPCIÓN:\n1.- Calificación aprobatoria del semestre anterior (acreditar en un 80% de asistencias y calificación mínima de 7 en todas las materias).\n2.- Solicitar ficha de reinscripción y número de cuenta, en la oficina de Servicios Escolares del Centro de las Artes.\n3.- Pagar en el banco BBVA Bancomer.\n4.- Enviar al correo electrónico de serviciosescolarescah@gmail.com la siguiente documentación:\n-1 comprobante de pago en formato PDF.\n-1 Formato de reinscripción en PDF.","Publicado","Trámite","Alta","Transaccional",1050,1685,"600 solicitudes anuales","10 días hábiles","De acuerdo a la duración del taller, curso, seminario o diplomado especializado.",8,1
686,"Evaluación del Estudio de Riesgo Ambiental.","De conformidad con el artículo 37 párrafo último y 46 de la Ley para la Protección al Ambiente del Estado de Hidalgo, quien realice actividades riesgosas deberá presentar un Estudio de Riesgo Ambiental.","TODOS LOS DOCUMENTOS QUE A CONTINUACIÓN SE ENLISTAN DEBERÁN ADJUNTARSE EN FORMATOS: .PDF O .JPG\nEvaluación del Estudio de Riesgo Ambiental y Programa de Prevención de Accidentes:\n1.	Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales del Estado de Hidalgo, en el cual se solicite la autorización en materia de Riesgo Ambiental.\n\n2.	Estudio de Riesgo Ambiental y Programa de Prevención de Accidentes, de acuerdo a los términos de referencia establecidos por esta Secretaría.\n\n3.	Copia cotejada por esta Secretaría de Medio Ambiente y Recursos Naturales de Hidalgo, para tener debidamente acreditada la personalidad jurídica de quien promueve el proyecto sujeto a evaluación, de los siguientes documentos, según sea el caso:\n•	Identificación oficial vigente para personas físicas y morales: Credencial para votar INE, Pasaporte, Cédula Profesional o Cartilla del Servicio Militar. \n•	Acta Constitutiva, para el caso de personas morales. \n•	Poder Notarial o nombramiento para representantes legales de personas morales.\n•	De ser el caso, la representación de las personas físicas deberá acreditarse mediante carta poder firmada ante dos testigos, acompañada de copias simples de las identificaciones oficiales vigentes, de quienes intervienen en el acto.\n\n4.	Opinión Técnica de Factibilidad en materia de Protección Civil u Opinión Técnica de Seguridad en materia de Protección Civil según corresponda, emitida por la Subsecretaría de Protección Civil y Gestión de Riesgos de Gobierno del Estado de Hidalgo.\n\n5.	Planos debidamente firmados por el Director Responsable y Corresponsable registrados ante la SOPOT (vigente) y validados por la autoridad correspondiente (municipio, organismo operador del agua o CFE):\n●	Topográfico con coordenadas UTM de los vértices del polígono, en caso de proyectos de nueva creación.\n●	De conjunto donde especifique cuadro de áreas, incluyendo las destinadas para el almacenamiento de sustancias riesgosas y la ubicación de los recipientes o contenedores que las almacenen.\n●	Del sistema contraincendios.\n●	Isométricos de infraestructura para almacenamiento y distribución de sustancias químicas y combustibles.\n\n6.	Hojas de datos de seguridad de las sustancias.\n\nEn caso de NO contar con Autorización en materia de Impacto Ambiental y que de acuerdo a la naturaleza de su proyecto o actividad no requiera contar con dicha Autorización, deberá presentar la documentación antes citada y lo siguiente:\n●	Título de propiedad inscrito en el Registro Público que corresponda o del documento que acredite la posesión o el derecho para realizar las actividades que se pretenden, debidamente cotejado por esta Secretaría.\n●	Licencia de uso de suelo para la totalidad de la superficie del proyecto, por el uso específico del caso y emitida por la Secretaría de Obras Públicas y Ordenamiento Territorial de Gobierno del Estado de Hidalgo, o en su caso por los municipios autorizados para tal efecto (Pachuca de Soto, Zapotlán de Juárez, Tizayuca, Tulancingo de Bravo, Nopala de Villagrán, Omitlán de Juárez).\n●	Documento oficial de prestación del servicio de agua potable y alcantarillado sanitario.\n\n","Publicado","Trámite","Alta","De inicio",113.14,2895,"","De 60 a 120 días hábiles de conformidad a los artículos 43 y 44 de la  LPAEH","DE ACUERDO A LA NATURALEZA DEL PROYECTO.",9,6
694,"Autorregulación Ambiental","Los productores, empresas u organizaciones empresariales que cumplan con la normatividad vigente en materia ambiental, podrán desarrollar procesos voluntarios de autorregulación ambiental, a través de los cuales mejoren su desempeño ecológico y se comprometan a cumplir mayores niveles, metas o beneficios en materia de protección ambiental.","Documentación Básica\n1. Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo en el cual se solicite su incorporación voluntaria al proceso de Autorregulación.\n1. Copia debidamente cotejada por esta Secretaría de los siguientes documentos:\n2. Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría. \n3. Título de propiedad inscrito en el Registro Público de la Propiedad y del Comercio, que corresponda o del documento que acredite la posesión o el derecho para realizar las actividades que se desarrollan, debidamente cotejado por esta Secretaría.\n4. Licencia de uso de suelo para la totalidad de la superficie del proyecto, por el uso específico del caso y emitida por la Autoridad competente*. \nCopia simple de los siguientes documentos:\n5. Opinión Técnica de Seguridad en materia de Protección Civil, emitida por la Subsecretaría de Protección Civil y Gestión de Riesgos de Gobierno del Estado de Hidalgo.\n6. Plano de conjunto donde especifique cuadro de áreas. \n* debidamente firmados por el Director Responsable y Corresponsable registrados ante la SOPOT (vigente).\n7. Recibos o documentos que acrediten el suministro de servicios: \na. Energía eléctrica\nb. Agua potable y alcantarillado sanitario\nc. Recolección de residuos sólidos urbanos \n8. Formato para la Incorporación voluntaria al proceso de Autorregulación Ambiental.","Publicado","Trámite","Alta","Informativo",0,1943,"","30 días hábiles","2 AÑOS",11,8
698,"Opinión Técnica en Materia Ambiental ","Documento mediante el cual se le da a conocer las obligaciones ambientales que deben cumplimentar un desarrollo y la factibilidad del mismo en congruencia con el ordenamiento ecológico del territorio.","DESCRIPCIÓN DEL PROYECTO: Deberá realizar una descripción detallada de los trabajos a realizar para el desarrollo del proyecto, informando en caso de aplicar cada uno de los procesos, materias primas, insumos, productos y residuos. (Opinión Técnica Privada).\nUBICACIÓN DEL PREDIO: Plano o croquis de micro y macro localización, con coordenadas UTM.\nSUPERFICIE: Superficie total del predio y superficie del proyecto y de cada una de las áreas que contempla.\nINDICAR: La obra es nueva, se encuentra en proceso de construcción con porcentaje de avance o si ya se encuentra en operación, señalar la fecha de inicio.\nDESCRIPCIÓN DEL SITIO: \n•	Uso de suelo: deberá especificar de acuerdo al sitio donde se pretende llevar a cabo el desarrollo del proyecto, el uso de suelo.\n•	Vegetación a afectar: Especificar el número de especies y número de ejemplares de vegetación que se afectara con el desarrollo del proyecto de manera detallada.\n•	Especificar: Si existen ríos, arroyos o cuerpos de agua, etc., dentro del predio o en la periferia.\n•	Señalar si el proyecto se encuentra dentro de un área natural protegida\nSI ES GENERADOR DE RESIDUOS O MANEJA RESIDUOS, ESPECIFICAR (Opinión Técnica Privada):\n	Residuo Residuos sólidos urbanos \n	Volumen mensual\n	Sitio de disposición final\n\nDOCUMENTOS QUE DEBERÁ ADJUNTAR A LA OPINIÓN TÉCNICA PRIVADA.\n1.	Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo, en el cual se solicite la emisión de la opinión técnica.\n2.	Acreditación de la personalidad jurídica del promovente o representante legal, debidamente cotejada por esta Secretaría.  \n3.	Título de propiedad inscrito en el Registro Público que corresponda o del documento que acredite la posesión o el derecho para realizar las actividades que se pretenden, debidamente cotejado por esta Secretaría.\n4.	Croquis de micro y macro localización con coordenadas UTM de los vértices del polígono.\n5.	Anexo fotográfico del predio donde se desarrollará el proyecto y de sus colindancias.\n6.	Plano con cuadro de áreas y superficies.\n\nDOCUMENTACIÓN A ADJUNTAR PARA OPINIÓN TÉCNICA OBRA PÚBLICA\n1.	Escrito dirigido al Secretario de Medio Ambiente y Recursos Naturales de Hidalgo, en el cual se solicite la emisión de la opinión técnica.\n2.	Croquis de micro y macro localización con coordenadas UTM de los vértices del polígono.\n3.	Anexo fotográfico del predio donde se desarrollará el proyecto y de sus colindancias.\n","Publicado","Trámite","Alta","De inicio",113.14,6141,"15","De 30 días hábiles","No tiene vigencia",9,18
